Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Revenue received from client,236028,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Transaction charges deducted,259868,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
CA fees paid,339842,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Marketing campaign expense,182664,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office rent paid,249418,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance renewal paid,57417,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Advertising charges paid,284798,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank charges deducted,499978,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Professional charges paid,397097,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer receipt recorded,233168,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Building rent payment,22760,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Promotional expense paid,473157,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,219002,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Term loan payment made,463903,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Vehicle insurance paid,250870,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Legal fees paid,336833,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Consultancy fees paid,430417,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Hotel expense paid,406190,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Staff salary paid,149327,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank loan installment paid,323665,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office furniture purchased,309176,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Insurance premium paid,81339,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business travel expense,333222,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Staff salary paid,403560,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Salary paid to employees,249020,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Term loan payment made,496966,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Water bill paid,125980,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Health insurance premium,275749,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Hotel expense paid,179186,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Term loan payment made,294559,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Computer equipment purchased,47193,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank service fee charged,10460,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Taxi fare paid,317214,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Salary paid to employees,182154,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Revenue received from client,223068,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,382444,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Hotel expense paid,90630,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Telephone bill paid,450888,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Electricity bill paid,429534,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Staff salary paid,428872,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Electricity bill paid,338372,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly payroll payment,275630,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Warehouse rent paid,376064,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Payroll expense booked,469642,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
CA fees paid,338187,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Promotional expense paid,237927,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer receipt recorded,356256,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,442607,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
CA fees paid,187909,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Hotel expense paid,200121,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST liability paid,186747,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST deposited,19694,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST payment made,18045,GST,GST Payable,GST Payable Dr | To Bank,Liability
Utility expense paid,209509,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Taxi fare paid,99121,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST payment made,389727,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer payment received,451545,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,451096,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Payroll expense booked,245430,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Revenue received from client,285460,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST challan payment,203630,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST deposited,17975,GST,GST Payable,GST Payable Dr | To Bank,Liability
Office furniture purchased,308965,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Payroll expense booked,388895,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,159922,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Rent expense booked,264847,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance renewal paid,479664,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business travel expense,447904,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Telephone bill paid,103960,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,462294,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Laptop purchased,79482,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly payroll payment,176491,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle insurance paid,75221,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Utility expense paid,46713,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Employee salary transfer,320407,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales income received,394917,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan repayment made,144237,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Computer equipment purchased,56873,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Utility expense paid,26970,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Travel reimbursement paid,260045,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Term loan payment made,419563,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business travel expense,11162,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Electricity bill paid,203508,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,217032,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST liability paid,203074,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank loan installment paid,333165,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Internet bill paid,341219,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Flight ticket booked,419649,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Health insurance premium,369195,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Revenue received from client,313565,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST challan payment,86836,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,219145,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Vehicle insurance paid,349263,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business insurance paid,288632,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Professional charges paid,178121,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer payment received,366115,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Printer purchased,260800,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Marketing campaign expense,294766,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Health insurance premium,124714,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Electricity bill paid,371487,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Telephone bill paid,81129,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Marketing campaign expense,408367,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Business insurance paid,6968,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank loan installment paid,304902,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,177993,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Electricity bill paid,258737,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank loan installment paid,135305,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank service fee charged,357762,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Vehicle insurance paid,250200,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly payroll payment,154912,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Hotel expense paid,260350,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank commission charged,154556,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,86058,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan repayment made,287301,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,39840,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Term loan payment made,280225,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business travel expense,254529,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Loan principal paid,188517,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Utility expense paid,271441,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Flight ticket booked,344688,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer payment received,486476,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Laptop purchased,412187,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Hotel expense paid,156811,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank commission charged,327634,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Water bill paid,240398,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank loan installment paid,373732,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,43485,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank commission charged,313214,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Travel reimbursement paid,340533,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office furniture purchased,408603,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Term loan payment made,80055,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Hotel expense paid,80961,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST deposited,31747,GST,GST Payable,GST Payable Dr | To Bank,Liability
Legal fees paid,345583,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank service fee charged,481871,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Customer receipt recorded,350412,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank charges deducted,261889,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Payroll expense booked,14193,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,6948,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Customer receipt recorded,185665,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,488884,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Computer equipment purchased,350096,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Printer purchased,308611,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Printer purchased,384334,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Water bill paid,59030,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Utility expense paid,425546,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST liability paid,253891,GST,GST Payable,GST Payable Dr | To Bank,Liability
Facebook advertisement expense,80960,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Monthly rent transferred,161895,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer payment received,189375,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales collection received,81588,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Laptop purchased,117781,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Transaction charges deducted,363505,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business travel expense,50140,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
CA fees paid,250797,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Payroll expense booked,179002,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,87691,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST liability paid,58608,GST,GST Payable,GST Payable Dr | To Bank,Liability
Building rent payment,198767,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Advertising charges paid,197713,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,42454,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Legal fees paid,236697,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office rent paid,434578,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,74347,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance renewal paid,397298,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle insurance paid,81872,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Telephone bill paid,362423,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Google advertisement expense,58985,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Staff salary paid,11774,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Payroll expense booked,137230,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Health insurance premium,319935,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Office furniture purchased,221861,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Audit fees paid,13092,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Payroll expense booked,242230,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,407289,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance renewal paid,409412,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Term loan payment made,140123,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan EMI paid,137037,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,454042,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Employee salary transfer,201136,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Building rent payment,1767,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
CA fees paid,432806,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST deposited,424728,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,287647,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Facebook advertisement expense,204438,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST liability paid,115709,GST,GST Payable,GST Payable Dr | To Bank,Liability
Term loan payment made,388228,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Transaction charges deducted,452779,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Telephone bill paid,381976,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Printer purchased,403864,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Printer purchased,402726,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST tax deposited,162299,GST,GST Payable,GST Payable Dr | To Bank,Liability
Building rent payment,408442,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank commission charged,312070,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan EMI paid,423169,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Rent expense booked,8866,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Revenue received from client,115623,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank commission charged,50270,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Processing charges deducted,191958,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Laptop purchased,436788,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,220701,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business travel expense,244614,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Sales collection received,44800,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST tax deposited,406294,GST,GST Payable,GST Payable Dr | To Bank,Liability
Hotel expense paid,39599,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Promotional expense paid,299036,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Term loan payment made,413727,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank charges deducted,158509,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Computer equipment purchased,317488,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Term loan payment made,207150,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST liability paid,260107,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank commission charged,7166,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Legal fees paid,81656,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Building rent payment,412679,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Hotel expense paid,92149,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Advertising charges paid,425576,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,274501,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office furniture purchased,472872,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Marketing campaign expense,405606,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Warehouse rent paid,348525,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Staff salary paid,175562,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Professional charges paid,350881,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales income received,310651,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST tax deposited,410195,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank service fee charged,291370,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,201248,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Advertising charges paid,427901,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,428164,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Laptop purchased,83624,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,173896,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,321305,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Telephone bill paid,293494,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales collection received,355285,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,429236,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Business travel expense,452321,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Printer purchased,245637,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Staff salary paid,311424,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Travel reimbursement paid,117823,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank charges deducted,222162,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Office rent paid,400999,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance renewal paid,352302,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance premium paid,17239,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Revenue received from client,221066,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,206859,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Water bill paid,471308,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Travel reimbursement paid,229807,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST payment made,233487,GST,GST Payable,GST Payable Dr | To Bank,Liability
Electricity bill paid,448107,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Building rent payment,139490,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Business insurance paid,111439,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Promotional expense paid,385817,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Term loan payment made,40263,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank commission charged,53329,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,89643,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Promotional expense paid,80768,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle insurance paid,201778,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Processing charges deducted,51869,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Travel reimbursement paid,154837,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank commission charged,246429,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Promotional expense paid,301296,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Telephone bill paid,255162,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Travel reimbursement paid,180517,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,200990,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Advertising charges paid,433742,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST tax deposited,109167,GST,GST Payable,GST Payable Dr | To Bank,Liability
Insurance renewal paid,5034,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly rent transferred,158012,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Business insurance paid,330411,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST liability paid,23081,GST,GST Payable,GST Payable Dr | To Bank,Liability
Telephone bill paid,323948,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Hotel expense paid,411744,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Hotel expense paid,38478,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Warehouse rent paid,355753,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Rent expense booked,148333,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,271142,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Term loan payment made,5550,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Printer purchased,231778,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Office furniture purchased,290761,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
CA fees paid,209519,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Business insurance paid,91536,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
CA fees paid,311548,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Employee salary transfer,222000,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,58222,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Advertising charges paid,84700,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,45250,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly rent transferred,71259,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Staff salary paid,231867,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST challan payment,137715,GST,GST Payable,GST Payable Dr | To Bank,Liability
Electricity bill paid,396418,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,351002,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Water bill paid,139416,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,423045,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Term loan payment made,119660,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank charges deducted,58968,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Taxi fare paid,24741,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer payment received,111955,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,10285,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Transaction charges deducted,153678,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Google advertisement expense,105101,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Audit fees paid,20727,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,495356,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Google advertisement expense,60657,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Term loan payment made,226908,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Consultancy fees paid,154320,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Professional charges paid,339727,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Business travel expense,470014,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Computer equipment purchased,110932,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Printer purchased,254905,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Sales income received,113720,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales income received,178466,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan EMI paid,117352,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Laptop purchased,265857,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Term loan payment made,116399,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Warehouse rent paid,300564,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Promotional expense paid,233001,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST payment made,153372,GST,GST Payable,GST Payable Dr | To Bank,Liability
