Invoice_Text,Category
Export GST Refund Rs 152407,GST Refund
Debit Note For Short Supply Rs 335839,Debit Note
Purchase Adjustment Debit Note Rs 176474,Debit Note
GST Claim Refund Rs 162399,GST Refund
Overseas Supplier Invoice Germany Rs 180872,Import
Debit Note For Short Supply Rs 68346,Debit Note
GST Liability Payment Rs 102862,GST Payment
Export Invoice to Australia Rs 421382,Export
Medical Service Exempt Invoice Rs 442740,Exempt Supply
Corporate Invoice for HCL Rs 206352,B2B
Healthcare Service Invoice Rs 214846,Exempt Supply
GST Invoice to IBM Rs 318740,B2B
Purchase Adjustment Debit Note Rs 276412,Debit Note
Debit Note For Short Supply Rs 208964,Debit Note
LUT Export Invoice to UK Rs 91102,Export
Customer Purchase Bill Rs 29291,B2C
Wholesale Sale to Accenture Rs 448395,B2B
Overseas Supplier Invoice Canada Rs 283767,Import
Consumer Invoice Rs 342201,B2C
Import Purchase Bill Canada Rs 489096,Import
Purchase Adjustment Debit Note Rs 304237,Debit Note
Sales Return Credit Note Rs 445747,Credit Note
Consumer Invoice Rs 187677,B2C
Reverse Charge GST Service Rs 24980,Reverse Charge
Import Goods From Japan Rs 93216,Import
Legal Service Under RCM Rs 290141,Reverse Charge
Retail Sale Invoice Rs 211126,B2C
Reverse Charge GST Service Rs 426682,Reverse Charge
Debit Note For Short Supply Rs 144976,Debit Note
GST Tax Payment Rs 49636,GST Payment
Reverse Charge GST Service Rs 40648,Reverse Charge
GST Claim Refund Rs 120922,GST Refund
Export Invoice to Australia Rs 272529,Export
Medical Service Exempt Invoice Rs 269375,Exempt Supply
Customer Credit Note Rs 96209,Credit Note
Exempt Supply Bill Rs 376164,Exempt Supply
Customer Purchase Bill Rs 311294,B2C
Credit Note Against Invoice Rs 143692,Credit Note
Consumer Invoice Rs 488728,B2C
Corporate Invoice for IBM Rs 335972,B2B
Input GST Refund Rs 225034,GST Refund
Import Material Invoice UK Rs 95964,Import
Export Invoice to Australia Rs 237918,Export
Import Goods From Singapore Rs 155398,Import
GST Claim Refund Rs 4377,GST Refund
Healthcare Service Invoice Rs 273933,Exempt Supply
RCM Professional Fees Rs 133994,Reverse Charge
Debit Note For Short Supply Rs 449977,Debit Note
Export Supply Invoice Germany Rs 63591,Export
Export GST Refund Rs 388229,GST Refund
Purchase Adjustment Debit Note Rs 90840,Debit Note
Debit Note For Short Supply Rs 349464,Debit Note
GST Refund Received Rs 65445,GST Refund
Exempt Supply Bill Rs 271414,Exempt Supply
Input GST Refund Rs 124045,GST Refund
Purchase Adjustment Debit Note Rs 293759,Debit Note
Cash Sale Bill Rs 152240,B2C
Tax Invoice issued to HCL Rs 281340,B2B
Import Purchase Bill UK Rs 339613,Import
Export Invoice to Australia Rs 445199,Export
GST Claim Refund Rs 128624,GST Refund
Export GST Refund Rs 250993,GST Refund
Medical Service Exempt Invoice Rs 332740,Exempt Supply
Monthly GST Deposit Rs 254056,GST Payment
Tax Invoice issued to Microsoft Rs 31891,B2B
GST Liability Payment Rs 402364,GST Payment
Credit Note Against Invoice Rs 95039,Credit Note
Export Invoice to Germany Rs 480554,Export
Monthly GST Deposit Rs 457431,GST Payment
Import Purchase Bill Japan Rs 59338,Import
Retail Sale Invoice Rs 137733,B2C
Wholesale Sale to Oracle Rs 310675,B2B
Retail Sale Invoice Rs 254322,B2C
Import Goods From Canada Rs 34808,Import
Customer Purchase Bill Rs 357166,B2C
GST Liability Payment Rs 317324,GST Payment
Corporate Invoice for IBM Rs 239942,B2B
Customer Credit Note Rs 197723,Credit Note
Tax Invoice issued to TCS Rs 98543,B2B
Import Material Invoice Japan Rs 375753,Import
Education Service Invoice Rs 417477,Exempt Supply
GST Refund Received Rs 66461,GST Refund
Debit Note For Freight Rs 303206,Debit Note
Input GST Refund Rs 430672,GST Refund
Credit Note Against Invoice Rs 33437,Credit Note
GST Liability Payment Rs 480389,GST Payment
GST Refund Received Rs 8756,GST Refund
Education Service Invoice Rs 428472,Exempt Supply
Export Supply Invoice Singapore Rs 394388,Export
Exempt Supply Bill Rs 341114,Exempt Supply
Overseas Supplier Invoice Canada Rs 151363,Import
Credit Note Against Invoice Rs 494401,Credit Note
Tax Invoice issued to Flipkart Rs 22816,B2B
Healthcare Service Invoice Rs 403263,Exempt Supply
Sales Return Credit Note Rs 445449,Credit Note
Import Material Invoice Australia Rs 137165,Import
Input GST Refund Rs 56025,GST Refund
RCM Professional Fees Rs 498149,Reverse Charge
LUT Export Invoice to Japan Rs 450250,Export
Debit Note For Short Supply Rs 352290,Debit Note
LUT Export Invoice to Canada Rs 277832,Export
Input GST Refund Rs 420103,GST Refund
Customer Credit Note Rs 16872,Credit Note
Import Purchase Bill Japan Rs 461454,Import
Retail Sale Invoice Rs 175152,B2C
Tax Invoice issued to Oracle Rs 443342,B2B
Monthly GST Deposit Rs 329671,GST Payment
Export Supply Invoice Germany Rs 329798,Export
Purchase Adjustment Debit Note Rs 92802,Debit Note
Retail Sale Invoice Rs 455860,B2C
Credit Note Against Invoice Rs 368772,Credit Note
GST Liability Payment Rs 119505,GST Payment
Consumer Invoice Rs 107593,B2C
Sales Return Credit Note Rs 350490,Credit Note
Export GST Refund Rs 18066,GST Refund
Export GST Refund Rs 490505,GST Refund
Consumer Invoice Rs 442789,B2C
Import Goods From Canada Rs 399138,Import
GST Tax Payment Rs 343288,GST Payment
Legal Service Under RCM Rs 280706,Reverse Charge
Corporate Invoice for Accenture Rs 432985,B2B
Reverse Charge GST Service Rs 290699,Reverse Charge
Customer Credit Note Rs 431401,Credit Note
Debit Note For Freight Rs 302636,Debit Note
GST Tax Payment Rs 72057,GST Payment
Corporate Invoice for HCL Rs 61349,B2B
GST Refund Received Rs 444223,GST Refund
Customer Purchase Bill Rs 475591,B2C
Monthly GST Deposit Rs 290260,GST Payment
LUT Export Invoice to Canada Rs 339270,Export
Corporate Invoice for Infosys Rs 18939,B2B
RCM Professional Fees Rs 97044,Reverse Charge
Purchase Adjustment Debit Note Rs 278074,Debit Note
RCM Professional Fees Rs 156075,Reverse Charge
Debit Note For Freight Rs 482789,Debit Note
Vendor Debit Note Rs 271531,Debit Note
GST Tax Payment Rs 107248,GST Payment
Credit Adjustment Note Rs 246077,Credit Note
Export GST Refund Rs 456063,GST Refund
Vendor Debit Note Rs 394054,Debit Note
