Book_Description,Bank_Description,Amount,Match_Status
GST Payment,GST Challan,42616,Matched
Software Subscription,Software Payment,54999,Matched
Insurance Premium,Insurance Payment,62008,Matched
Salary Paid,Cash Withdrawal,72449,Not Matched
Advertising Expense,UPI Payment,26211,Not Matched
GST Payment,Cash Withdrawal,63275,Not Matched
Stationery Purchase,Investment Transfer,60940,Not Matched
Consultancy Fees,ATM Withdrawal,42049,Not Matched
Stationery Purchase,Investment Transfer,32422,Not Matched
Stationery Purchase,Unknown Transaction,22940,Not Matched
Laptop Purchase,Investment Transfer,78706,Not Matched
Staff Welfare,Personal Transfer,76394,Not Matched
Stationery Purchase,ATM Withdrawal,35571,Not Matched
Salary Paid,Credit Card Payment,99549,Not Matched
Staff Welfare,Unknown Transaction,77085,Not Matched
Stationery Purchase,Interest Debit,19638,Not Matched
GST Payment,Personal Transfer,12115,Not Matched
Staff Welfare,Personal Transfer,40626,Not Matched
Laptop Purchase,Computer Purchase,76042,Matched
Bank Charges,Bank Service Charges,5124,Matched
Travel Expense,Personal Transfer,5647,Not Matched
Stationery Purchase,Credit Card Payment,43254,Not Matched
Bank Charges,Bank Service Charges,1858,Matched
Office Rent,Rent Payment,94240,Matched
Customer Receipt,Customer Payment,45539,Matched
GST Payment,ATM Withdrawal,65903,Not Matched
Laptop Purchase,UPI Payment,44936,Not Matched
Consultancy Fees,Unknown Transaction,68267,Not Matched
Salary Paid,Interest Debit,19161,Not Matched
Office Rent,Rent Payment,14449,Matched
Salary Paid,Interest Debit,98894,Not Matched
Software Subscription,Software Payment,67755,Matched
Stationery Purchase,Cash Withdrawal,75163,Not Matched
Laptop Purchase,UPI Payment,67368,Not Matched
Bank Charges,Bank Service Charges,13868,Matched
Fuel Expense,Loan EMI,24477,Not Matched
Advertising Expense,Unknown Transaction,75103,Not Matched
Software Subscription,Software Payment,7114,Matched
Consultancy Fees,Interest Debit,83826,Not Matched
Office Rent,Rent Payment,97291,Matched
Fuel Expense,Interest Debit,55809,Not Matched
Bank Charges,Bank Service Charges,33366,Matched
Stationery Purchase,Cheque Bounce Charge,7492,Not Matched
Customer Receipt,Customer Payment,78882,Matched
GST Payment,GST Challan,62567,Matched
Staff Welfare,Cash Withdrawal,27924,Not Matched
Laptop Purchase,Interest Debit,33747,Not Matched
Consultancy Fees,Unknown Transaction,21124,Not Matched
GST Payment,GST Challan,82446,Matched
Consultancy Fees,ATM Withdrawal,41640,Not Matched
Laptop Purchase,Unknown Transaction,49355,Not Matched
Office Rent,Rent Payment,37945,Matched
Laptop Purchase,Computer Purchase,44737,Matched
GST Payment,GST Challan,34040,Matched
Insurance Premium,Insurance Payment,78663,Matched
Office Rent,Rent Payment,23261,Matched
Bank Charges,Bank Service Charges,75577,Matched
Salary Paid,Unknown Transaction,37569,Not Matched
Stationery Purchase,Loan EMI,37906,Not Matched
Travel Expense,Personal Transfer,93007,Not Matched
Fuel Expense,Unknown Transaction,52558,Not Matched
Electricity Bill,Electricity Payment,31543,Matched
Consultancy Fees,Personal Transfer,96048,Not Matched
Bank Charges,Bank Service Charges,7962,Matched
Fuel Expense,Cash Withdrawal,23155,Not Matched
GST Payment,GST Challan,44696,Matched
Advertising Expense,Unknown Transaction,48471,Not Matched
Internet Expense,Internet Bill Payment,44595,Matched
Bank Charges,Bank Service Charges,73163,Matched
Software Subscription,Software Payment,14869,Matched
Salary Paid,Salary Transfer,90595,Matched
GST Payment,Cash Withdrawal,3413,Not Matched
Staff Welfare,Interest Debit,86154,Not Matched
Software Subscription,Software Payment,98039,Matched
Software Subscription,Software Payment,73127,Matched
Office Rent,Personal Transfer,16671,Not Matched
Stationery Purchase,ATM Withdrawal,37172,Not Matched
Office Rent,Rent Payment,76099,Matched
Internet Expense,Internet Bill Payment,20828,Matched
Salary Paid,Salary Transfer,82306,Matched
Customer Receipt,Customer Payment,76313,Matched
Salary Paid,Cash Withdrawal,11530,Not Matched
Internet Expense,Internet Bill Payment,49618,Matched
Fuel Expense,Investment Transfer,60346,Not Matched
Salary Paid,Salary Transfer,96934,Matched
Travel Expense,Loan EMI,94597,Not Matched
Travel Expense,Cash Withdrawal,1880,Not Matched
Customer Receipt,Customer Payment,64406,Matched
GST Payment,GST Challan,4110,Matched
Internet Expense,Internet Bill Payment,76289,Matched
GST Payment,Credit Card Payment,67922,Not Matched
Bank Charges,Bank Service Charges,9525,Matched
Laptop Purchase,Computer Purchase,85459,Matched
Salary Paid,Loan EMI,27739,Not Matched
Travel Expense,Cash Withdrawal,1539,Not Matched
Consultancy Fees,Loan EMI,10015,Not Matched
Office Rent,UPI Payment,5730,Not Matched
Laptop Purchase,Computer Purchase,7657,Matched
Travel Expense,Cash Withdrawal,46917,Not Matched
Stationery Purchase,Interest Debit,23848,Not Matched
GST Payment,GST Challan,41873,Matched
Travel Expense,Loan EMI,68589,Not Matched
Office Rent,Rent Payment,38990,Matched
Staff Welfare,Loan EMI,1505,Not Matched
Software Subscription,Software Payment,34727,Matched
Fuel Expense,UPI Payment,90524,Not Matched
Fuel Expense,Investment Transfer,20729,Not Matched
Insurance Premium,Insurance Payment,85230,Matched
Customer Receipt,Customer Payment,37209,Matched
Customer Receipt,Customer Payment,7028,Matched
Customer Receipt,Customer Payment,30959,Matched
Customer Receipt,Customer Payment,16391,Matched
GST Payment,GST Challan,6186,Matched
Stationery Purchase,UPI Payment,72698,Not Matched
Software Subscription,Software Payment,21689,Matched
Office Rent,Rent Payment,41526,Matched
Stationery Purchase,Cash Withdrawal,51350,Not Matched
GST Payment,GST Challan,19973,Matched
Advertising Expense,Cheque Bounce Charge,51714,Not Matched
Electricity Bill,Electricity Payment,23433,Matched
Staff Welfare,Cash Withdrawal,90069,Not Matched
Consultancy Fees,Cash Withdrawal,16171,Not Matched
Fuel Expense,Loan EMI,14781,Not Matched
Stationery Purchase,Unknown Transaction,96499,Not Matched
Salary Paid,Personal Transfer,41251,Not Matched
Software Subscription,Software Payment,55545,Matched
Consultancy Fees,Personal Transfer,77891,Not Matched
Bank Charges,Bank Service Charges,18586,Matched
GST Payment,Cash Withdrawal,94399,Not Matched
Laptop Purchase,Computer Purchase,73996,Matched
Bank Charges,Bank Service Charges,99822,Matched
Salary Paid,Salary Transfer,72448,Matched
GST Payment,GST Challan,76874,Matched
Advertising Expense,Investment Transfer,83539,Not Matched
Customer Receipt,Customer Payment,79071,Matched
Bank Charges,Bank Service Charges,9452,Matched
Software Subscription,Software Payment,11347,Matched
Stationery Purchase,Loan EMI,62636,Not Matched
Fuel Expense,Loan EMI,97403,Not Matched
Travel Expense,UPI Payment,14017,Not Matched
Laptop Purchase,Credit Card Payment,14668,Not Matched
Office Rent,Rent Payment,64140,Matched
Salary Paid,Investment Transfer,25911,Not Matched
Laptop Purchase,Credit Card Payment,54054,Not Matched
GST Payment,ATM Withdrawal,21702,Not Matched
Stationery Purchase,Loan EMI,31858,Not Matched
Travel Expense,UPI Payment,15061,Not Matched
Fuel Expense,Interest Debit,63844,Not Matched
Fuel Expense,Investment Transfer,25036,Not Matched
Customer Receipt,Customer Payment,78000,Matched
Insurance Premium,Insurance Payment,42549,Matched
Bank Charges,Bank Service Charges,78934,Matched
Office Rent,Rent Payment,70355,Matched
Travel Expense,Unknown Transaction,9650,Not Matched
Salary Paid,Loan EMI,67514,Not Matched
Fuel Expense,Cash Withdrawal,12985,Not Matched
Office Rent,Personal Transfer,51201,Not Matched
Office Rent,Rent Payment,3759,Matched
Laptop Purchase,Unknown Transaction,9697,Not Matched
Bank Charges,Bank Service Charges,12007,Matched
Salary Paid,Salary Transfer,16276,Matched
GST Payment,Loan EMI,70507,Not Matched
Internet Expense,Internet Bill Payment,37817,Matched
Bank Charges,Bank Service Charges,62036,Matched
Software Subscription,Software Payment,30185,Matched
Customer Receipt,Customer Payment,70773,Matched
Internet Expense,Internet Bill Payment,71265,Matched
GST Payment,GST Challan,54767,Matched
Staff Welfare,Unknown Transaction,70210,Not Matched
Bank Charges,Bank Service Charges,35084,Matched
Bank Charges,Bank Service Charges,86111,Matched
Salary Paid,Salary Transfer,18700,Matched
Bank Charges,Bank Service Charges,84782,Matched
Staff Welfare,Loan EMI,37631,Not Matched
Salary Paid,Interest Debit,34787,Not Matched
Stationery Purchase,Investment Transfer,52919,Not Matched
Laptop Purchase,Cheque Bounce Charge,93716,Not Matched
Laptop Purchase,Computer Purchase,68606,Matched
Salary Paid,Credit Card Payment,26952,Not Matched
Stationery Purchase,Cash Withdrawal,73828,Not Matched
Travel Expense,Loan EMI,61574,Not Matched
GST Payment,GST Challan,79879,Matched
Stationery Purchase,Unknown Transaction,41443,Not Matched
Internet Expense,Internet Bill Payment,26956,Matched
Electricity Bill,Electricity Payment,51575,Matched
GST Payment,GST Challan,69346,Matched
Staff Welfare,ATM Withdrawal,25018,Not Matched
Electricity Bill,Electricity Payment,93724,Matched
Salary Paid,Salary Transfer,96143,Matched
Office Rent,Investment Transfer,80551,Not Matched
Staff Welfare,Cheque Bounce Charge,55080,Not Matched
Customer Receipt,Customer Payment,60541,Matched
Advertising Expense,Interest Debit,99428,Not Matched
Electricity Bill,Electricity Payment,55864,Matched
Staff Welfare,Unknown Transaction,41396,Not Matched
Internet Expense,Internet Bill Payment,71249,Matched
Laptop Purchase,Computer Purchase,46021,Matched
Electricity Bill,Electricity Payment,51453,Matched
Electricity Bill,Electricity Payment,29025,Matched
Stationery Purchase,Interest Debit,73135,Not Matched
Laptop Purchase,Computer Purchase,48440,Matched
Office Rent,Credit Card Payment,90334,Not Matched
Bank Charges,Bank Service Charges,69757,Matched
GST Payment,GST Challan,79126,Matched
Office Rent,ATM Withdrawal,44840,Not Matched
Bank Charges,Bank Service Charges,80719,Matched
Internet Expense,Internet Bill Payment,48672,Matched
Fuel Expense,Investment Transfer,91771,Not Matched
GST Payment,Investment Transfer,88682,Not Matched
Internet Expense,Internet Bill Payment,58875,Matched
Insurance Premium,Insurance Payment,50824,Matched
Staff Welfare,Unknown Transaction,82571,Not Matched
Consultancy Fees,Investment Transfer,67239,Not Matched
Laptop Purchase,Computer Purchase,75569,Matched
Stationery Purchase,Cheque Bounce Charge,70844,Not Matched
Salary Paid,Salary Transfer,76896,Matched
Consultancy Fees,ATM Withdrawal,80236,Not Matched
Travel Expense,Unknown Transaction,82488,Not Matched
Office Rent,Rent Payment,11083,Matched
Fuel Expense,ATM Withdrawal,95365,Not Matched
Electricity Bill,Electricity Payment,95706,Matched
Travel Expense,Cheque Bounce Charge,95233,Not Matched
Internet Expense,Internet Bill Payment,45374,Matched
Customer Receipt,Customer Payment,91368,Matched
Fuel Expense,ATM Withdrawal,2573,Not Matched
Fuel Expense,ATM Withdrawal,7708,Not Matched
Salary Paid,Cash Withdrawal,20923,Not Matched
Consultancy Fees,Personal Transfer,21848,Not Matched
Salary Paid,Credit Card Payment,33764,Not Matched
Office Rent,Personal Transfer,83790,Not Matched
Internet Expense,Internet Bill Payment,28631,Matched
Fuel Expense,Interest Debit,91488,Not Matched
Staff Welfare,Investment Transfer,94347,Not Matched
